MATIERE;LONGUEUR;LARGEUR;EPAISSEUR;FORME;PRIX_AU_KG;COUT_LAME;COUT_AVANCE;COEFF_FORME;MONTANT_TOTAL
Acier;100;50;5;Rectangle;1.5;10;5;1.1;25.5
Aluminium;200;100;10;Cercle;2.0;15;8;1.2;56.0
Cuivre;150;75;8;Carré;3.0;12;7;1.3;49.0
Bronze;300;150;12;Triangle;4.0;20;10;1.4;168.0
Plomb;50;25;3;Losange;0.8;5;3;1.05;6.3
Titane;120;60;6;Ovale;5.5;25;15;1.5;82.5
Etain;80;40;4;Hexagone;2.5;12;6;1.25;15.0
Zinc;90;45;4.5;Pentagone;1.2;8;4;1.15;9.66
Nickel;180;90;9;Octogone;6.0;30;18;1.6;172.8
Argent;60;30;3;Etoile;7.0;35;20;1.7;71.4
Or;40;20;2;Disque;50.0;100;50;2.0;200.0
Platine;35;17;1.5;Anneau;60.0;120;60;2.2;145.2
Palladium;25;12;1;Tube;40.0;80;40;1.9;60.8
Rhodium;15;7;0.5;Sphere;75.0;150;75;2.5;187.5
Iridium;10;5;0.3;Cube;80.0;160;80;2.7;216.0
Osmium;8;4;0.2;Pyramide;90.0;180;90;3.0;270.0
Ruthénium;7;3;0.1;Cone;65.0;130;65;2.3;149.5
Germanium;110;55;5.5;Parallelepipede;3.5;15;7;1.35;25.98
Silicon;130;65;6.5;Trapeze;2.8;13;6;1.28;23.34
Carbone;140;70;7;Ellipse;4.2;18;9;1.42;40.32
